id,farmId,parcelIndex,cropType,harvestDate,quantity,unit,qualityGrade
42,12,0,"Papaya","2024-09-19",13.42,"kg","Premium"
43,12,0,"Papaya","2023-10-21",13.19,"kg","Premium"
44,13,0,"Pepper","2023-01-15",54.85,"kg","Premium"
45,13,0,"Pepper","2022-06-06",49.42,"kg","Premium"
46,13,0,"Pepper","2024-11-07",59.30,"kg","Premium"
47,14,0,"Cucumber","2023-05-13",14.95,"kg","Premium"
48,14,0,"Cucumber","2022-02-09",12.57,"kg","Premium"
49,14,0,"Cucumber","2023-01-03",15.20,"kg","Premium"
50,14,0,"Cucumber","2022-08-06",12.57,"kg","Premium"
51,15,0,"Corn","2023-11-04",20.34,"kg","Premium"
52,15,0,"Corn","2023-12-16",22.22,"kg","Premium"
53,15,0,"Corn","2024-03-06",20.90,"kg","Premium"
54,15,0,"Corn","2022-03-06",18.83,"kg","Premium"
55,16,0,"Cucumber","2022-10-02",15.14,"kg","Premium"
56,16,0,"Cucumber","2024-03-06",17.56,"kg","Premium"
57,16,0,"Cucumber","2022-05-11",15.14,"kg","Premium"
58,16,0,"Cucumber","2022-06-07",15.14,"kg","Premium"
59,17,0,"Cucumber","2023-07-07",32.78,"kg","Premium"
60,17,0,"Cucumber","2024-06-10",34.20,"kg","Premium"
61,18,0,"Mango","2023-11-22",5.37,"kg","Premium"
62,18,0,"Mango","2023-09-07",4.91,"kg","Premium"
63,18,0,"Mango","2024-06-27",2.77,"kg","Below Standard"
64,18,0,"Mango","2022-12-06",4.67,"kg","Premium"
65,19,0,"Banana","2022-01-05",8.38,"kg","Premium"
66,19,0,"Banana","2023-05-25",9.56,"kg","Premium"
67,20,0,"Papaya","2023-10-14",16.05,"kg","Premium"
68,20,0,"Papaya","2023-02-14",18.15,"kg","Premium"
69,20,0,"Papaya","2024-05-15",18.60,"kg","Premium"
70,21,0,"Palay (Rice)","2023-12-09",29.33,"kg","Premium"
71,21,0,"Palay (Rice)","2023-09-25",29.82,"kg","Premium"
72,22,0,"Cassava","2022-03-02",13.40,"kg","Premium"
73,22,0,"Cassava","2022-09-01",13.40,"kg","Premium"
74,22,0,"Cassava","2024-05-22",15.94,"kg","Premium"
75,22,0,"Cassava","2024-01-20",16.61,"kg","Premium"
76,23,0,"Squash","2024-05-05",29.69,"kg","Premium"
77,23,0,"Squash","2023-05-22",30.21,"kg","Premium"
78,23,0,"Squash","2023-02-16",31.77,"kg","Premium"
79,24,0,"Sweet Potato","2023-03-02",7.42,"kg","Premium"
80,24,0,"Sweet Potato","2022-11-15",6.24,"kg","Premium"
81,25,0,"Palay (Rice)","2022-01-09",21.83,"kg","Premium"
82,25,0,"Palay (Rice)","2022-11-02",21.83,"kg","Premium"
83,25,0,"Palay (Rice)","2024-05-21",24.45,"kg","Premium"
84,26,0,"Cucumber","2023-02-16",8.72,"kg","Premium"
85,26,0,"Cucumber","2024-10-24",8.94,"kg","Premium"
86,26,0,"Cucumber","2022-07-15",7.33,"kg","Premium"
87,27,0,"Pepper","2023-04-12",62.10,"kg","Premium"
88,27,0,"Pepper","2023-09-20",66.83,"kg","Premium"
89,28,0,"Tomato","2023-09-01",74.66,"kg","Premium"
90,28,0,"Tomato","2023-11-03",79.36,"kg","Premium"
91,28,0,"Tomato","2023-01-11",84.07,"kg","Premium"
92,29,0,"Cassava","2024-06-16",6.41,"kg","Premium"
93,29,0,"Cassava","2022-12-21",6.05,"kg","Premium"
94,29,0,"Cassava","2024-12-03",7.14,"kg","Premium"
95,30,0,"Mango","2024-04-14",5.53,"kg","Premium"
96,30,0,"Mango","2023-04-04",6.08,"kg","Premium"
97,30,0,"Mango","2024-12-05",6.08,"kg","Premium"
98,31,0,"Pepper","2024-04-25",7.98,"kg","Premium"
99,31,0,"Pepper","2022-04-18",7.46,"kg","Premium"
100,31,0,"Pepper","2024-08-10",8.20,"kg","Premium"
101,31,0,"Pepper","2022-08-06",7.46,"kg","Premium"
102,32,0,"Mango","2022-11-06",21.46,"kg","Premium"
103,32,0,"Mango","2024-11-06",24.68,"kg","Premium"
104,33,0,"Tomato","2024-03-10",52.77,"kg","Premium"
105,33,0,"Tomato","2022-10-11",42.56,"kg","Premium"
106,34,0,"Cassava","2022-03-19",19.15,"kg","Premium"
107,34,0,"Cassava","2023-07-23",22.59,"kg","Premium"
108,35,0,"Cucumber","2022-03-14",28.53,"kg","Premium"
109,35,0,"Cucumber","2024-09-02",31.38,"kg","Premium"
110,35,0,"Cucumber","2024-01-15",32.52,"kg","Premium"
111,35,0,"Cucumber","2023-09-18",33.38,"kg","Premium"
112,36,0,"Cassava","2023-05-04",19.99,"kg","Premium"
113,36,0,"Cassava","2023-12-12",19.64,"kg","Premium"
114,36,0,"Cassava","2023-10-02",19.81,"kg","Premium"
115,37,0,"Cucumber","2023-03-07",22.45,"kg","Premium"
116,37,0,"Cucumber","2023-02-04",20.98,"kg","Premium"
117,37,0,"Cucumber","2023-07-03",22.08,"kg","Premium"
118,38,0,"Sweet Potato","2022-03-22",7.30,"kg","Premium"
119,38,0,"Sweet Potato","2023-03-23",7.88,"kg","Premium"
120,39,0,"Palay (Rice)","2022-01-03",8.79,"kg","Premium"
121,39,0,"Palay (Rice)","2024-02-07",9.94,"kg","Premium"
122,40,0,"Cucumber","2024-12-18",9.92,"kg","Premium"
123,40,0,"Cucumber","2023-01-11",10.48,"kg","Premium"
124,41,0,"Cucumber","2024-08-07",13.06,"kg","Premium"
125,41,0,"Cucumber","2024-01-14",12.10,"kg","Premium"
126,41,0,"Cucumber","2022-04-25",10.61,"kg","Premium"
127,41,0,"Cucumber","2024-06-25",12.10,"kg","Premium"
128,42,0,"Banana","2022-09-01",17.55,"kg","Premium"
129,42,0,"Banana","2023-01-25",20.18,"kg","Premium"
130,43,0,"Palay (Rice)","2024-09-02",27.22,"kg","Premium"
131,43,0,"Palay (Rice)","2022-11-26",22.69,"kg","Premium"
132,43,0,"Palay (Rice)","2023-12-08",24.50,"kg","Premium"
133,43,0,"Palay (Rice)","2024-07-07",27.45,"kg","Premium"
134,44,0,"Palay (Rice)","2022-09-18",27.26,"kg","Premium"
135,44,0,"Palay (Rice)","2023-03-11",33.26,"kg","Premium"
136,44,0,"Palay (Rice)","2024-02-25",32.71,"kg","Premium"
137,44,0,"Palay (Rice)","2024-07-07",29.17,"kg","Premium"
138,45,0,"Squash","2022-06-26",19.75,"kg","Premium"
139,45,0,"Squash","2022-01-21",19.75,"kg","Premium"
140,46,0,"Palay (Rice)","2024-02-02",8.70,"kg","Premium"
141,46,0,"Palay (Rice)","2022-08-20",7.31,"kg","Premium"
142,46,0,"Palay (Rice)","2023-06-23",8.27,"kg","Premium"
143,46,0,"Palay (Rice)","2024-07-25",8.41,"kg","Premium"
144,47,0,"Okra","2024-03-20",11.99,"kg","Premium"
145,47,0,"Okra","2022-02-21",11.00,"kg","Premium"
146,47,0,"Okra","2024-07-26",12.43,"kg","Premium"
147,47,0,"Okra","2022-12-06",11.00,"kg","Premium"
148,48,0,"Cassava","2022-10-28",20.07,"kg","Premium"
149,48,0,"Cassava","2022-06-11",20.07,"kg","Premium"
150,48,0,"Cassava","2023-03-18",21.67,"kg","Premium"
151,48,0,"Cassava","2024-08-27",24.28,"kg","Premium"
152,49,0,"Cassava","2024-05-21",6.78,"kg","Premium"
153,49,0,"Cassava","2022-12-13",5.51,"kg","Premium"
154,50,0,"Cucumber","2023-09-04",19.65,"kg","Premium"
155,50,0,"Cucumber","2024-03-06",19.65,"kg","Premium"
156,50,0,"Cucumber","2023-07-17",21.83,"kg","Premium"
157,51,0,"Palay (Rice)","2023-02-01",9.54,"kg","Premium"
158,51,0,"Palay (Rice)","2022-04-22",7.95,"kg","Premium"
159,52,0,"Eggplant","2024-02-18",78.14,"kg","Premium"
160,52,0,"Eggplant","2022-06-09",65.66,"kg","Premium"
161,53,0,"Palay (Rice)","2022-05-28",2.74,"kg","Premium"
162,53,0,"Palay (Rice)","2022-05-20",2.74,"kg","Premium"
163,54,0,"Mango","2024-04-05",5.67,"kg","Premium"
164,54,0,"Mango","2023-10-25",6.20,"kg","Premium"
165,54,0,"Mango","2024-07-24",5.78,"kg","Premium"
166,54,0,"Mango","2022-03-23",5.30,"kg","Premium"
167,55,0,"Mango","2023-03-02",34.81,"kg","Premium"
168,55,0,"Mango","2022-10-14",29.50,"kg","Premium"
169,55,0,"Mango","2024-08-01",31.27,"kg","Premium"
170,55,0,"Mango","2024-12-14",33.33,"kg","Premium"
171,56,0,"Corn","2023-09-23",21.05,"kg","Premium"
172,56,0,"Corn","2024-03-25",19.34,"kg","Premium"
173,57,0,"Pepper","2024-01-27",14.35,"kg","Premium"
174,57,0,"Pepper","2023-08-09",12.50,"kg","Premium"
175,57,0,"Pepper","2022-04-10",11.57,"kg","Premium"
176,58,0,"Corn","2022-10-23",10.19,"kg","Premium"
177,58,0,"Corn","2024-05-03",12.33,"kg","Premium"
178,59,0,"Mango","2022-05-06",26.90,"kg","Premium"
179,59,0,"Mango","2023-04-02",30.13,"kg","Premium"
180,60,0,"Cucumber","2023-03-10",31.51,"kg","Premium"
181,60,0,"Cucumber","2024-03-01",30.48,"kg","Premium"
182,61,0,"Okra","2023-09-22",14.59,"kg","Premium"
183,61,0,"Okra","2023-07-15",14.10,"kg","Premium"
184,61,0,"Okra","2022-06-17",12.05,"kg","Premium"
185,61,0,"Okra","2023-04-15",14.22,"kg","Premium"
186,62,0,"Okra","2024-03-05",11.33,"kg","Premium"
187,62,0,"Okra","2022-09-24",9.68,"kg","Premium"
188,62,0,"Okra","2022-12-20",9.68,"kg","Premium"
189,63,0,"Corn","2024-09-14",23.08,"kg","Premium"
190,63,0,"Corn","2022-09-08",18.61,"kg","Premium"
191,64,0,"Palay (Rice)","2023-10-01",25.80,"kg","Premium"
192,64,0,"Palay (Rice)","2023-11-03",27.41,"kg","Premium"
193,64,0,"Palay (Rice)","2024-11-07",13.56,"kg","Below Standard"
194,65,0,"Mango","2024-12-08",12.74,"kg","Premium"
195,65,0,"Mango","2023-11-01",14.15,"kg","Premium"
196,65,0,"Mango","2023-04-12",12.98,"kg","Premium"
197,65,0,"Mango","2024-01-17",14.03,"kg","Premium"
198,66,0,"Banana","2022-06-07",15.40,"kg","Premium"
199,66,0,"Banana","2024-06-25",5.84,"kg","Below Standard"
200,66,0,"Banana","2022-06-14",15.40,"kg","Premium"
201,67,0,"Cassava","2023-09-26",14.32,"kg","Premium"
202,67,0,"Cassava","2022-03-02",13.38,"kg","Premium"
203,67,0,"Cassava","2023-01-15",14.72,"kg","Premium"
204,67,0,"Cassava","2023-10-05",14.86,"kg","Premium"
205,68,0,"Eggplant","2023-04-13",44.04,"kg","Premium"
206,68,0,"Eggplant","2023-01-23",44.41,"kg","Premium"
207,69,0,"Eggplant","2024-07-17",37.64,"kg","Premium"
208,69,0,"Eggplant","2022-07-10",34.54,"kg","Premium"
209,69,0,"Eggplant","2023-01-20",38.33,"kg","Premium"
210,69,0,"Eggplant","2024-10-21",38.33,"kg","Premium"
211,70,0,"Eggplant","2024-04-06",10.57,"kg","Premium"
212,70,0,"Eggplant","2024-05-10",10.02,"kg","Premium"
213,70,0,"Eggplant","2023-06-13",10.30,"kg","Premium"
214,71,0,"Palay (Rice)","2024-09-27",38.62,"kg","Premium"
215,71,0,"Palay (Rice)","2023-12-10",36.03,"kg","Premium"
216,72,0,"Cucumber","2022-12-23",25.29,"kg","Premium"
217,72,0,"Cucumber","2023-12-23",29.08,"kg","Premium"
218,73,0,"Mango","2022-04-16",4.84,"kg","Premium"
219,73,0,"Mango","2023-10-28",5.66,"kg","Premium"
220,73,0,"Mango","2023-11-08",5.52,"kg","Premium"
221,73,0,"Mango","2024-08-06",5.90,"kg","Premium"
222,74,0,"Cassava","2023-11-12",31.19,"kg","Premium"
223,74,0,"Cassava","2022-03-22",28.61,"kg","Premium"
224,75,0,"Mango","2024-10-08",31.38,"kg","Premium"
225,75,0,"Mango","2023-10-05",32.24,"kg","Premium"
226,75,0,"Mango","2022-05-02",28.53,"kg","Premium"
227,76,0,"Cassava","2024-04-03",15.63,"kg","Premium"
228,76,0,"Cassava","2023-02-11",14.97,"kg","Premium"
229,76,0,"Cassava","2022-12-25",13.25,"kg","Premium"
230,76,0,"Cassava","2022-06-22",13.25,"kg","Premium"
231,77,0,"Corn","2023-01-10",14.30,"kg","Premium"
232,77,0,"Corn","2024-03-16",14.17,"kg","Premium"
233,78,0,"Banana","2022-06-08",5.27,"kg","Premium"
234,78,0,"Banana","2023-05-09",6.38,"kg","Premium"
235,78,0,"Banana","2022-09-14",5.27,"kg","Premium"
236,79,0,"Corn","2022-06-17",25.71,"kg","Premium"
237,79,0,"Corn","2023-07-21",28.79,"kg","Premium"
238,80,0,"Mango","2022-06-03",16.45,"kg","Premium"
239,80,0,"Mango","2023-01-18",19.41,"kg","Premium"
240,81,0,"Eggplant","2022-09-02",8.94,"kg","Premium"
241,81,0,"Eggplant","2022-03-24",8.94,"kg","Premium"
242,82,0,"Corn","2023-06-21",18.65,"kg","Premium"
243,82,0,"Corn","2022-06-06",16.80,"kg","Premium"
244,83,0,"Eggplant","2022-09-16",68.30,"kg","Premium"
245,83,0,"Eggplant","2022-02-26",68.30,"kg","Premium"
246,83,0,"Eggplant","2022-11-26",68.30,"kg","Premium"
247,83,0,"Eggplant","2023-09-23",79.91,"kg","Premium"
248,84,0,"Pepper","2022-06-15",54.02,"kg","Premium"
249,84,0,"Pepper","2023-03-27",65.90,"kg","Premium"
250,84,0,"Pepper","2024-08-24",58.34,"kg","Premium"
251,85,0,"Tomato","2022-07-05",44.57,"kg","Premium"
252,85,0,"Tomato","2022-06-03",44.57,"kg","Premium"
253,85,0,"Tomato","2024-05-17",48.59,"kg","Premium"
254,85,0,"Tomato","2023-10-20",54.83,"kg","Premium"
255,86,0,"Squash","2023-02-21",25.48,"kg","Premium"
256,86,0,"Squash","2022-12-11",20.88,"kg","Premium"
257,86,0,"Squash","2024-06-25",16.82,"kg","Standard"
258,86,0,"Squash","2024-08-15",14.97,"kg","Standard"
259,87,0,"Cucumber","2024-01-14",27.17,"kg","Premium"
260,87,0,"Cucumber","2022-07-15",22.64,"kg","Premium"
261,88,0,"Tomato","2022-10-24",48.67,"kg","Premium"
262,88,0,"Tomato","2024-05-26",55.48,"kg","Premium"
263,88,0,"Tomato","2024-07-01",53.05,"kg","Premium"
264,89,0,"Okra","2023-02-09",19.28,"kg","Premium"
265,89,0,"Okra","2022-03-13",18.19,"kg","Premium"
266,90,0,"Corn","2022-05-20",3.53,"kg","Premium"
267,90,0,"Corn","2022-01-01",3.53,"kg","Premium"
268,91,0,"Palay (Rice)","2023-06-16",16.37,"kg","Premium"
269,91,0,"Palay (Rice)","2022-07-19",15.02,"kg","Premium"
270,92,0,"Sweet Potato","2024-06-27",6.46,"kg","Premium"
271,92,0,"Sweet Potato","2024-02-01",7.28,"kg","Premium"
272,92,0,"Sweet Potato","2023-03-04",6.29,"kg","Premium"
273,93,0,"Squash","2022-12-07",18.18,"kg","Premium"
274,93,0,"Squash","2023-11-08",19.27,"kg","Premium"
275,94,0,"Banana","2024-05-15",23.05,"kg","Premium"
276,94,0,"Banana","2023-08-18",22.26,"kg","Premium"
277,95,0,"Eggplant","2022-04-13",67.01,"kg","Premium"
278,95,0,"Eggplant","2024-01-04",83.09,"kg","Premium"
279,95,0,"Eggplant","2022-10-07",67.01,"kg","Premium"
280,95,0,"Eggplant","2024-03-16",81.08,"kg","Premium"
281,96,0,"Eggplant","2023-08-12",68.98,"kg","Premium"
282,96,0,"Eggplant","2024-02-16",73.78,"kg","Premium"
283,96,0,"Eggplant","2024-02-28",71.98,"kg","Premium"
284,96,0,"Eggplant","2022-07-23",59.98,"kg","Premium"
285,97,0,"Palay (Rice)","2024-10-14",32.86,"kg","Premium"
286,97,0,"Palay (Rice)","2024-05-27",32.29,"kg","Premium"
287,97,0,"Palay (Rice)","2023-06-28",36.04,"kg","Premium"
288,98,0,"Pepper","2022-09-11",13.65,"kg","Premium"
289,98,0,"Pepper","2023-09-19",15.97,"kg","Premium"
290,98,0,"Pepper","2022-08-08",13.65,"kg","Premium"
291,98,0,"Pepper","2023-04-05",15.83,"kg","Premium"
292,99,0,"Cassava","2023-12-11",25.20,"kg","Premium"
293,99,0,"Cassava","2024-10-24",26.70,"kg","Premium"
294,99,0,"Cassava","2024-08-23",23.92,"kg","Premium"
295,99,0,"Cassava","2024-02-20",26.06,"kg","Premium"
296,100,0,"Mango","2022-04-25",24.19,"kg","Premium"
297,100,0,"Mango","2022-07-03",24.19,"kg","Premium"
298,100,0,"Mango","2023-01-22",26.37,"kg","Premium"
299,100,0,"Mango","2024-12-17",30.00,"kg","Premium"
300,101,0,"Okra","2023-01-01",57.10,"kg","Premium"
301,101,0,"Okra","2022-09-07",52.39,"kg","Premium"
302,102,0,"Tomato","2024-06-17",61.05,"kg","Premium"
303,102,0,"Tomato","2022-06-07",51.74,"kg","Premium"
304,102,0,"Tomato","2024-05-05",64.67,"kg","Premium"
305,102,0,"Tomato","2023-09-24",62.09,"kg","Premium"
306,103,0,"Eggplant","2023-07-03",51.88,"kg","Premium"
307,103,0,"Eggplant","2023-03-13",57.16,"kg","Premium"
308,104,0,"Palay (Rice)","2022-10-02",22.10,"kg","Premium"
309,104,0,"Palay (Rice)","2024-05-16",27.40,"kg","Premium"
310,104,0,"Palay (Rice)","2023-05-22",24.75,"kg","Premium"
311,104,0,"Palay (Rice)","2024-09-01",26.74,"kg","Premium"
312,105,0,"Tomato","2024-12-04",26.35,"kg","Premium"
313,105,0,"Tomato","2024-07-14",26.59,"kg","Premium"
314,105,0,"Tomato","2023-10-03",25.62,"kg","Premium"
315,106,0,"Eggplant","2024-11-15",65.47,"kg","Premium"
316,106,0,"Eggplant","2024-04-10",67.30,"kg","Premium"
317,107,0,"Pepper","2024-01-01",42.33,"kg","Premium"
318,107,0,"Pepper","2024-03-18",47.29,"kg","Premium"
319,107,0,"Pepper","2022-12-28",38.13,"kg","Premium"
320,108,0,"Palay (Rice)","2022-06-12",10.08,"kg","Premium"
321,108,0,"Palay (Rice)","2024-12-28",12.50,"kg","Premium"
322,108,0,"Palay (Rice)","2023-11-23",12.40,"kg","Premium"
323,108,0,"Palay (Rice)","2022-12-07",10.08,"kg","Premium"
324,109,0,"Palay (Rice)","2023-06-07",28.62,"kg","Premium"
325,109,0,"Palay (Rice)","2022-01-08",26.02,"kg","Premium"
326,109,0,"Palay (Rice)","2022-12-26",26.02,"kg","Premium"
327,110,0,"Okra","2022-10-24",10.79,"kg","Premium"
328,110,0,"Okra","2022-02-24",10.79,"kg","Premium"
329,111,0,"Squash","2024-09-21",26.76,"kg","Premium"
330,111,0,"Squash","2024-08-21",25.16,"kg","Premium"
331,111,0,"Squash","2022-07-10",22.87,"kg","Premium"
332,112,0,"Papaya","2022-08-06",21.42,"kg","Premium"
333,112,0,"Papaya","2022-12-01",21.42,"kg","Premium"
334,112,0,"Papaya","2023-09-02",25.70,"kg","Premium"
335,113,0,"Palay (Rice)","2024-11-18",43.58,"kg","Premium"
336,113,0,"Palay (Rice)","2022-10-18",36.62,"kg","Premium"
337,113,0,"Palay (Rice)","2024-08-13",41.38,"kg","Premium"
338,114,0,"Cucumber","2022-11-14",9.76,"kg","Premium"
339,114,0,"Cucumber","2022-03-17",9.76,"kg","Premium"
340,115,0,"Okra","2024-01-08",5.67,"kg","Premium"
341,115,0,"Okra","2023-03-07",5.67,"kg","Premium"
342,115,0,"Okra","2024-03-25",5.87,"kg","Premium"
343,116,0,"Tomato","2023-07-02",83.64,"kg","Premium"
344,116,0,"Tomato","2023-02-18",81.61,"kg","Premium"
345,117,0,"Tomato","2024-01-28",15.22,"kg","Premium"
346,117,0,"Tomato","2022-12-28",13.35,"kg","Premium"
347,117,0,"Tomato","2024-03-27",16.02,"kg","Premium"
348,117,0,"Tomato","2022-09-03",13.35,"kg","Premium"
349,118,0,"Cassava","2024-11-23",23.40,"kg","Premium"
350,118,0,"Cassava","2023-11-15",20.38,"kg","Premium"
351,118,0,"Cassava","2024-11-18",23.21,"kg","Premium"
352,118,0,"Cassava","2022-03-05",18.87,"kg","Premium"
353,119,0,"Palay (Rice)","2024-12-03",9.86,"kg","Premium"
354,119,0,"Palay (Rice)","2023-08-04",10.22,"kg","Premium"
355,119,0,"Palay (Rice)","2022-05-12",9.04,"kg","Premium"
356,119,0,"Palay (Rice)","2023-07-27",9.77,"kg","Premium"
357,120,0,"Tomato","2024-04-16",74.13,"kg","Premium"
358,120,0,"Tomato","2022-09-19",66.18,"kg","Premium"
359,121,0,"Sweet Potato","2023-06-01",3.67,"kg","Premium"
360,121,0,"Sweet Potato","2023-10-25",3.73,"kg","Premium"
361,121,0,"Sweet Potato","2024-03-19",4.06,"kg","Premium"
362,122,0,"Tomato","2024-03-17",7.21,"kg","Premium"
363,122,0,"Tomato","2023-05-27",7.03,"kg","Premium"
364,122,0,"Tomato","2024-10-16",4.16,"kg","Below Standard"
365,122,0,"Tomato","2024-07-15",6.79,"kg","Premium"
366,123,0,"Cucumber","2023-04-28",19.21,"kg","Premium"
367,123,0,"Cucumber","2022-11-11",15.49,"kg","Premium"
368,124,0,"Cucumber","2023-07-24",8.32,"kg","Premium"
369,124,0,"Cucumber","2022-02-06",7.49,"kg","Premium"
370,125,0,"Squash","2023-03-14",14.06,"kg","Premium"
371,125,0,"Squash","2024-10-22",13.25,"kg","Premium"
372,126,0,"Squash","2024-06-11",5.00,"kg","Premium"
373,126,0,"Squash","2024-11-17",4.79,"kg","Premium"
374,127,0,"Tomato","2023-11-26",24.30,"kg","Premium"
375,127,0,"Tomato","2024-05-25",24.72,"kg","Premium"
376,128,0,"Eggplant","2022-10-28",40.29,"kg","Premium"
377,128,0,"Eggplant","2024-12-12",43.52,"kg","Premium"
378,129,0,"Squash","2022-10-03",15.84,"kg","Premium"
379,129,0,"Squash","2022-03-02",15.84,"kg","Premium"
380,129,0,"Squash","2023-12-03",18.85,"kg","Premium"
381,130,0,"Tomato","2023-11-18",40.43,"kg","Premium"
382,130,0,"Tomato","2022-01-24",34.55,"kg","Premium"
383,131,0,"Palay (Rice)","2024-05-08",20.24,"kg","Premium"
384,131,0,"Palay (Rice)","2024-08-13",5.77,"kg","Below Standard"
385,132,0,"Pepper","2023-04-13",10.96,"kg","Premium"
386,132,0,"Pepper","2024-10-15",11.16,"kg","Premium"
387,132,0,"Pepper","2023-05-01",11.47,"kg","Premium"
388,133,0,"Banana","2024-07-10",65.46,"kg","Premium"
389,133,0,"Banana","2022-08-22",57.93,"kg","Premium"
390,133,0,"Banana","2022-04-14",57.93,"kg","Premium"
391,133,0,"Banana","2023-01-25",65.46,"kg","Premium"
392,134,0,"Eggplant","2024-02-22",7.13,"kg","Premium"
393,134,0,"Eggplant","2022-01-07",6.73,"kg","Premium"
394,135,0,"Mango","2022-09-10",15.25,"kg","Premium"
395,135,0,"Mango","2024-08-10",16.92,"kg","Premium"
396,135,0,"Mango","2023-06-11",18.60,"kg","Premium"
397,135,0,"Mango","2023-10-11",18.91,"kg","Premium"
398,136,0,"Okra","2024-05-25",14.59,"kg","Premium"
399,136,0,"Okra","2022-02-14",12.58,"kg","Premium"
400,136,0,"Okra","2022-04-01",12.58,"kg","Premium"
401,137,0,"Pepper","2023-01-18",41.81,"kg","Premium"
402,137,0,"Pepper","2022-11-05",34.27,"kg","Premium"
403,138,0,"Mango","2024-06-26",19.19,"kg","Below Standard"
404,138,0,"Mango","2022-04-12",27.51,"kg","Premium"
405,138,0,"Mango","2022-05-07",27.51,"kg","Premium"
406,139,0,"Palay (Rice)","2023-07-01",8.12,"kg","Premium"
407,139,0,"Palay (Rice)","2024-11-24",7.30,"kg","Premium"
408,140,0,"Corn","2022-11-13",23.28,"kg","Premium"
409,140,0,"Corn","2023-12-26",26.77,"kg","Premium"
410,140,0,"Corn","2022-01-25",23.28,"kg","Premium"
411,140,0,"Corn","2023-04-22",25.60,"kg","Premium"
412,141,0,"Pepper","2024-02-02",66.48,"kg","Premium"
413,141,0,"Pepper","2024-04-10",68.92,"kg","Premium"
414,142,0,"Palay (Rice)","2022-04-20",21.73,"kg","Premium"
415,142,0,"Palay (Rice)","2022-04-05",21.73,"kg","Premium"
416,142,0,"Palay (Rice)","2023-07-26",24.12,"kg","Premium"
417,142,0,"Palay (Rice)","2024-02-01",26.95,"kg","Premium"
418,143,0,"Palay (Rice)","2022-05-12",29.22,"kg","Premium"
419,143,0,"Palay (Rice)","2024-06-09",33.02,"kg","Premium"
420,144,0,"Tomato","2023-08-26",7.39,"kg","Premium"
421,144,0,"Tomato","2024-02-15",7.03,"kg","Premium"
422,144,0,"Tomato","2024-02-06",6.91,"kg","Premium"
423,144,0,"Tomato","2023-04-06",7.27,"kg","Premium"
424,145,0,"Sweet Potato","2023-08-13",32.85,"kg","Premium"
425,145,0,"Sweet Potato","2024-04-03",37.03,"kg","Premium"
426,145,0,"Sweet Potato","2023-09-15",33.15,"kg","Premium"
427,146,0,"Sweet Potato","2022-01-20",22.36,"kg","Premium"
